symbol,history_days,history_start_date,history_end_date,passes_history_filter
GOOG,3275,2012-12-24,2025-12-31,True
AVGO,3275,2012-12-24,2025-12-31,True
BRK-B,3275,2012-12-24,2025-12-31,True
BRK-A,3275,2012-12-24,2025-12-31,True
WMT,3275,2012-12-24,2025-12-31,True
LLY,3275,2012-12-24,2025-12-31,True
JPM,3275,2012-12-24,2025-12-31,True
XOM,3275,2012-12-24,2025-12-31,True
V,3275,2012-12-24,2025-12-31,True
JNJ,3275,2012-12-24,2025-12-31,True
MA,3275,2012-12-24,2025-12-31,True
COST,3275,2012-12-24,2025-12-31,True
MU,3275,2012-12-24,2025-12-31,True
ORCL,3275,2012-12-24,2025-12-31,True
NFLX,3275,2012-12-24,2025-12-31,True
ABBV,3275,2012-12-24,2025-12-31,True
CVX,3275,2012-12-24,2025-12-31,True
PG,3275,2012-12-24,2025-12-31,True
HD,3275,2012-12-24,2025-12-31,True
BAC,3275,2012-12-24,2025-12-31,True
GE,3275,2012-12-24,2025-12-31,True
KO,3275,2012-12-24,2025-12-31,True
AMD,3275,2012-12-24,2025-12-31,True
CAT,3275,2012-12-24,2025-12-31,True
CSCO,3275,2012-12-24,2025-12-31,True
MRK,3275,2012-12-24,2025-12-31,True
RTX,3275,2012-12-24,2025-12-31,True
PM,3275,2012-12-24,2025-12-31,True
AMAT,3275,2012-12-24,2025-12-31,True
LRCX,3275,2012-12-24,2025-12-31,True
UNH,3275,2012-12-24,2025-12-31,True
MS,3275,2012-12-24,2025-12-31,True
GS,3275,2012-12-24,2025-12-31,True
WFC,3275,2012-12-24,2025-12-31,True
TMUS,3275,2012-12-24,2025-12-31,True
IBM,3275,2012-12-24,2025-12-31,True
MCD,3275,2012-12-24,2025-12-31,True
INTC,3275,2012-12-24,2025-12-31,True
PEP,3275,2012-12-24,2025-12-31,True
VZ,3275,2012-12-24,2025-12-31,True
