strategy_name,filter_name,evaluation_scope,fold_name,backtest_start_date,backtest_end_date,symbol,sharpe,avg_trade_return,hit_rate,max_drawdown,trade_count,turnover,active_days,selected_days,avg_abs_weight,cumulative_return,final_equity
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,ABBV,-0.7367088,-0.00605604,0.5,-0.02006548,2,0.16666666,188,189,0.05472884,-0.01219384,0.98780616
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,AMAT,-1.70151114,-0.01022559,0.0,-0.02158394,2,0.16666667,126,126,0.02885251,-0.0203563,0.9796437
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,AVGO,-0.24723933,-0.00129915,0.333333,-0.02254805,3,0.16666667,123,123,0.02761243,-0.0040797,0.9959203
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,BRK-A,-1.36144964,-0.00325366,0.0,-0.00399446,1,0.04166667,64,64,0.01058201,-0.00327205,0.99672795
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,CAT,1.24040851,0.00437489,1.0,-0.00657514,2,0.16666667,144,144,0.03182871,0.00872114,1.00872114
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,COST,1.36695996,0.00460805,1.0,-0.0037006,2,0.16666667,125,125,0.02868717,0.00919378,1.00919378
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,CSCO,0.64509406,0.00163582,0.5,-0.00426799,2,0.08333334,128,128,0.02116402,0.00322261,1.00322261
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,CVX,-0.17953068,-0.00055311,0.5,-0.00516331,2,0.0625,127,128,0.02099868,-0.00114611,0.99885389
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,GE,-0.21596931,-0.00077373,0.0,-0.00505862,1,0.02083334,63,64,0.01041667,-0.00077985,0.99922015
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,GOOG,0.79178659,0.00305043,1.0,-0.00376282,1,0.04166667,63,63,0.01041667,0.00302683,1.00302683
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,GS,0.0451919,9.18e-05,0.333333,-0.00556194,3,0.10416668,147,148,0.02430556,0.00023872,1.00023872
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,HD,0.1937676,0.00052465,1.0,-0.0016762,1,0.04166667,64,64,0.01058201,0.00050056,1.00050056
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,IBM,-0.47204622,-0.00144646,0.0,-0.00350962,1,0.04166667,63,63,0.01041667,-0.00147105,0.99852895
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,INTC,0.22022992,0.00083048,0.5,-0.00876974,2,0.0625,106,107,0.01752646,0.00161371,1.00161371
jt1993_j3_k3_lag5,,walk_forward_fold,wf_2014,2014-01-01,2014-12-31,JNJ,-0.97452134,-0.0012173,0.333333,-0.00448744,3,0.12500001,82,83,0.01529431,-0.00370435,0.99629565
