strategy_name,symbol,sharpe,avg_trade_return,hit_rate,max_drawdown,trade_count,turnover,active_days,selected_days,avg_abs_weight,cumulative_return,final_equity,folds
jt1993_j12_k12_lag5,BAC,0.64306231,0.00114414,0.6875,-0.04131876,9,0.35023449,1216,1224,0.01472192,0.00118882,1.00118882,8
jt1993_j12_k12_lag5,TMUS,0.61630239,0.00262365,0.716667,-0.00985868,13,0.59860209,1386,1394,0.01613238,0.00328344,1.00328344,10
jt1993_j12_k12_lag5,JPM,0.61129111,0.00154305,0.75,-0.01441349,8,0.23601642,1199,1206,0.01299613,0.0015544,1.0015544,8
jt1993_j12_k12_lag5,COST,0.6044,0.00251648,0.683333,-0.013041,14,0.63477181,1515,1524,0.01713397,0.0019239,1.0019239,10
jt1993_j12_k12_lag5,GE,0.39833601,0.00252928,0.625,-0.03231503,15,0.72015243,1537,1546,0.01618717,0.00171189,1.00171189,12
jt1993_j12_k12_lag5,HD,0.3855408,0.00094523,0.583333,-0.00864737,14,0.38359938,1538,1549,0.01222382,0.00092475,1.00092475,12
jt1993_j12_k12_lag5,WFC,0.37926708,0.00201948,0.6,-0.01979461,10,0.60662882,1600,1607,0.02070046,0.0019955,1.0019955,10
jt1993_j12_k12_lag5,LRCX,0.2754252,0.00102053,0.555556,-0.05939685,18,0.93773904,1879,1889,0.02298164,0.00102379,1.00102379,12
jt1993_j12_k12_lag5,RTX,0.26576971,0.00132491,0.545455,-0.01455252,14,0.59434525,1619,1628,0.01617259,0.00141053,1.00141053,11
jt1993_j12_k12_lag5,NFLX,0.20812628,0.00324228,0.694445,-0.0553035,25,1.19439936,1667,1675,0.02340391,0.00421838,1.00421838,12
jt1993_j12_k12_lag5,MCD,0.20798132,0.00063393,0.583333,-0.02365332,13,0.74531023,1741,1751,0.01740363,0.00020994,1.00020994,12
jt1993_j12_k12_lag5,CVX,0.1758256,0.00029152,0.472222,-0.02240034,17,0.75935694,1644,1655,0.01686614,0.00112351,1.00112351,12
jt1993_j12_k12_lag5,XOM,0.15543731,0.00203459,0.666667,-0.02092513,14,0.78710322,1940,1950,0.02056014,0.00213342,1.00213342,12
jt1993_j12_k12_lag5,PG,0.11490208,0.00046569,0.583333,-0.01808928,15,0.7707071,1532,1542,0.01623015,0.00055805,1.00055805,12
jt1993_j12_k12_lag5,GOOG,0.09991535,-0.00040553,0.55,-0.03280366,13,0.52101372,1238,1246,0.0155301,-0.00059848,0.99940152,10
jt1993_j12_k12_lag5,MRK,0.09235255,0.00115895,0.7,-0.01248041,11,0.40183982,1283,1292,0.01375242,0.00081835,1.00081835,10
jt1993_j12_k12_lag5,LLY,0.07567114,0.00180358,0.545455,-0.01002126,13,0.54490895,1663,1673,0.01742561,0.00184963,1.00184963,11
jt1993_j12_k12_lag5,CAT,0.04950306,-0.00011805,0.484848,-0.02779786,18,0.85608763,1343,1351,0.01474193,-0.00199739,0.99800261,11
jt1993_j12_k12_lag5,MU,0.02794285,-0.00268369,0.666667,-0.08544886,18,1.16018669,2183,2194,0.02887473,-0.00269242,0.99730758,12
jt1993_j12_k12_lag5,VZ,0.02381363,-0.00065678,0.555556,-0.01458921,11,0.54810604,1369,1376,0.0202154,-0.00056115,0.99943885,9
jt1993_j12_k12_lag5,AMAT,0.0052279,0.00114828,0.515152,-0.02952846,16,1.05877977,1826,1835,0.02468294,0.00291106,1.00291106,11
jt1993_j12_k12_lag5,KO,-0.05792398,-0.00027402,0.444444,-0.00867914,9,0.36623377,1267,1273,0.01344607,-0.00027677,0.99972323,9
jt1993_j12_k12_lag5,AMD,-0.08181121,-0.0011742,0.46,-0.03980856,25,1.2865485,1448,1454,0.02321473,-0.0017186,0.9982814,10
jt1993_j12_k12_lag5,ORCL,-0.10132095,0.00059439,0.5,-0.00995746,9,0.33573232,946,952,0.01214456,0.00123031,1.00123031,8
jt1993_j12_k12_lag5,PM,-0.10429188,0.00040258,0.35,-0.01352613,13,0.55134379,1131,1138,0.01349938,0.00040804,1.00040804,10
jt1993_j12_k12_lag5,ABBV,-0.18348988,-0.00197604,0.333333,-0.04812811,14,0.90334147,1722,1731,0.02240074,-0.00171638,0.99828362,12
jt1993_j12_k12_lag5,UNH,-0.18827935,0.00083094,0.45,-0.01764934,12,0.47686236,1412,1422,0.01646162,0.00128577,1.00128577,10
jt1993_j12_k12_lag5,CSCO,-0.19272452,0.00028148,0.2,-0.0055165,5,0.14515243,631,635,0.01148132,0.00027579,1.00027579,5
jt1993_j12_k12_lag5,JNJ,-0.20242354,0.00010442,0.363636,-0.0238298,14,0.7190882,1334,1344,0.01547432,-0.00086851,0.99913149,11
jt1993_j12_k12_lag5,IBM,-0.2701246,-0.00050291,0.277778,-0.0141239,10,0.46041668,1298,1306,0.01649246,-0.00053042,0.99946958,9
jt1993_j12_k12_lag5,PEP,-0.27152056,-0.00053493,0.4,-0.00722673,10,0.2912563,1031,1037,0.00835142,-0.00054515,0.99945485,10
jt1993_j12_k12_lag5,V,-0.27218715,-0.00159516,0.25,-0.00973273,8,0.25442372,859,866,0.01063216,-0.00159735,0.99840265,8
jt1993_j12_k12_lag5,MS,-0.29922444,-0.00433072,0.348485,-0.03931172,16,0.66259469,1663,1674,0.01817799,-0.00507642,0.99492358,11
jt1993_j12_k12_lag5,GS,-0.31237128,-0.00311404,0.416667,-0.03338523,16,0.56761817,1447,1457,0.01354534,-0.00311174,0.99688826,12
jt1993_j12_k12_lag5,AVGO,-0.31296702,-0.00494272,0.227273,-0.04380126,17,1.02938761,1668,1676,0.02132217,-0.0055604,0.9944396,11
jt1993_j12_k12_lag5,MA,-0.35683402,-0.00276887,0.1875,-0.01496643,9,0.42261905,855,862,0.01575297,-0.00223127,0.99776873,8
jt1993_j12_k12_lag5,WMT,-0.50732829,-0.00188164,0.375,-0.01603376,14,0.83314393,1807,1816,0.02233724,-0.00214608,0.99785392,12
jt1993_j12_k12_lag5,BRK-A,-0.50931957,-0.00109995,0.333333,-0.00844632,6,0.27957702,1138,1143,0.01762326,-0.0011031,0.9988969,6
jt1993_j12_k12_lag5,BRK-B,-0.65452484,-0.00273031,0.333333,-0.00859142,3,0.15530303,569,571,0.018738,-0.0027377,0.9972623,3
jt1993_j12_k12_lag5,INTC,-0.66852867,-0.00677446,0.2,-0.06453766,16,0.73267495,1318,1327,0.02212676,-0.00865901,0.99134099,10
jt1993_j12_k3_lag5,COST,0.86231132,0.00272852,0.583333,-0.01083468,20,1.08333337,1024,1028,0.0205896,0.00436249,1.00436249,10
jt1993_j12_k3_lag5,BAC,0.53783862,0.00300728,0.75,-0.03618802,10,0.54166669,722,723,0.01709325,0.00268261,1.00268261,8
jt1993_j12_k3_lag5,TMUS,0.49109717,0.00275912,0.726667,-0.01082146,19,1.10416668,971,977,0.0210116,0.00412076,1.00412076,10
jt1993_j12_k3_lag5,XOM,0.39215266,0.0019007,0.75,-0.02272011,23,1.41666666,1584,1590,0.02833811,0.00400873,1.00400873,12
jt1993_j12_k3_lag5,GE,0.38678078,0.0015137,0.625,-0.05547109,20,1.22916668,1333,1338,0.02555887,0.00143462,1.00143462,12
jt1993_j12_k3_lag5,JPM,0.29411349,0.00181008,0.6875,-0.00996019,10,0.43750001,609,611,0.01370955,0.00136277,1.00136277,8
jt1993_j12_k3_lag5,GOOG,0.26508669,0.00028714,0.566667,-0.03128725,20,0.97916671,1088,1093,0.02102788,0.00046643,1.00046643,10
jt1993_j12_k3_lag5,CVX,0.20630565,0.00090489,0.486111,-0.01605258,25,1.29166672,1373,1378,0.02245419,0.00173411,1.00173411,12
jt1993_j12_k3_lag5,WFC,0.16457464,0.00155881,0.65,-0.01979461,15,0.91666667,1203,1206,0.0236371,0.00202661,1.00202661,10
jt1993_j12_k3_lag5,NFLX,0.16233252,0.00283005,0.572024,-0.04696211,37,2.18750001,1683,1691,0.03409792,0.0053758,1.00537581,12
jt1993_j12_k3_lag5,HD,0.15621557,0.0007249,0.458333,-0.01097891,16,0.75000004,972,977,0.01533709,0.00119101,1.00119101,12
jt1993_j12_k3_lag5,ABBV,0.15148348,-0.00024272,0.541667,-0.04812811,25,1.3541667,1344,1353,0.02455273,-0.00064115,0.99935885,12
jt1993_j12_k3_lag5,CAT,0.13167456,0.00027747,0.545455,-0.03105749,26,1.39583338,1128,1133,0.02047589,-9.487e-05,0.99990513,11
jt1993_j12_k3_lag5,VZ,0.09580028,0.00051155,0.611111,-0.01323305,18,0.9166667,1092,1099,0.02462702,0.00038031,1.00038031,9
jt1993_j12_k3_lag5,PG,0.08316515,0.00025749,0.597222,-0.01808928,19,1.14583336,1065,1071,0.01888712,0.00029586,1.00029586,12
jt1993_j12_k3_lag5,MCD,0.07569499,-0.00026701,0.444444,-0.02365332,18,1.04166672,1110,1114,0.01838284,-0.00020211,0.99979789,12
