         23856291 function calls (23221900 primitive calls) in 9.265 seconds

   Ordered by: cumulative time
   List reduced from 10007 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  219/114    0.001    0.000   10.344    0.091 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_ops.py:370(fallthrough)
        1    0.000    0.000    7.619    7.619 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/scalability.py:75(run_scalability_benchmark_suite)
        1    0.000    0.000    7.619    7.619 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/scalability.py:153(run_scalability_benchmark)
        7    0.000    0.000    7.498    1.071 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/scalability.py:436(_run_benchmark_job)
        7    0.000    0.000    7.494    1.071 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/services.py:426(execute_pipeline_run)
        7    0.000    0.000    7.481    1.069 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/services.py:459(ensure_job)
        7    0.001    0.000    7.454    1.065 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/services.py:263(_run_job_executor)
        1    0.002    0.002    3.862    3.862 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/service_jobs_data.py:435(execute_features)
        1    0.002    0.002    3.599    3.599 /Users/johnnylee/PycharmProjects/optimal_trader/workflows/features.py:18(build_feature_panel_frame_for_symbols)
        1    0.004    0.004    3.188    3.188 /Users/johnnylee/PycharmProjects/optimal_trader/workflows/feature_runtime.py:567(build_feature_panel_frame)
       99    0.004    0.000    3.017    0.030 /Users/johnnylee/PycharmProjects/optimal_trader/workflows/feature_runtime.py:422(build_symbol_feature_result)
       20    0.000    0.000    2.657    0.133 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_jit_internal.py:1027(_overload)
   173/68    0.003    0.000    2.621    0.039 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_ops.py:308(py_impl)
       99    0.001    0.000    2.499    0.025 /Users/johnnylee/PycharmProjects/optimal_trader/workflows/feature_runtime.py:275(_add_price_features)
       99    0.001    0.000    2.160    0.022 /Users/johnnylee/PycharmProjects/optimal_trader/features/feature_builders.py:25(build_price_technical_features)
       99    0.014    0.000    2.159    0.022 /Users/johnnylee/PycharmProjects/optimal_trader/domain/features/technical.py:213(build_price_technical_features)
   402/69    0.000    0.000    1.998    0.029 {built-in method builtins.__import__}
       99    0.016    0.000    1.684    0.017 /Users/johnnylee/PycharmProjects/optimal_trader/domain/features/technical.py:71(compute_features_worldclass)
        1    0.001    0.001    1.667    1.667 /Users/johnnylee/PycharmProjects/optimal_trader/pipeline/service_jobs_strategy.py:62(execute_build_strategy_dataset)
     11/9    0.000    0.000    1.390    0.154 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_ops.py:172(py_functionalize_impl)
      7/6    0.000    0.000    1.344    0.224 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_ops.py:321(py_autograd_impl)
        6    0.000    0.000    1.321    0.220 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/core/generic.py:3795(to_csv)
        6    0.000    0.000    1.321    0.220 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/io/formats/format.py:976(to_csv)
        6    0.000    0.000    1.320    0.220 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/io/formats/csvs.py:246(save)
        6    0.000    0.000    1.317    0.220 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/io/formats/csvs.py:274(_save)
        6    0.020    0.003    1.317    0.219 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/io/formats/csvs.py:307(_save_body)
       45    0.460    0.010    1.296    0.029 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/io/formats/csvs.py:317(_save_chunk)
    27/14    0.000    0.000    1.273    0.091 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_ops.py:280(__init__)
    21476    0.044    0.000    1.252    0.000 /Users/johnnylee/.local/lib/python3.13/site-packages/pandas/core/internals/managers.py:396(apply)
        1    0.000    0.000    1.240    1.240 /Users/johnnylee/miniconda3/envs/optimal_trader/lib/python3.13/site-packages/torch/_higher_order_ops/executorch_call_delegate.py:1(<module>)
