symbol,company_name,exchange,country,sector,industry,market_cap,price,beta,volume,dividend,dividend_yield,payload
GOOG,Alphabet Inc.,NASDAQ,US,Communication Services,Internet Content & Information,3701802975508.0,306.01,1.112,18908858.0,,,"{""beta"": 1.112, ""companyName"": ""Alphabet Inc."", ""country"": ""US"", ""exchange"": ""NASDAQ Global Select"", ""exchangeShortName"": ""NASDAQ"", ""industry"": ""Internet Content & Information"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 0.83, ""marketCap"": 3701802975508, ""price"": 306.01, ""sector"": ""Communication Services"", ""symbol"": ""GOOG"", ""volume"": 18908858.0}"
AVGO,Broadcom Inc.,NASDAQ,US,Technology,Semiconductors,1639295416004.0,345.75,1.257,38912324.0,,,"{""beta"": 1.257, ""companyName"": ""Broadcom Inc."", ""country"": ""US"", ""exchange"": ""NASDAQ Global Select"", ""exchangeShortName"": ""NASDAQ"", ""industry"": ""Semiconductors"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 2.42, ""marketCap"": 1639295416004, ""price"": 345.75, ""sector"": ""Technology"", ""symbol"": ""AVGO"", ""volume"": 38912324.0}"
BRK-B,Berkshire Hathaway Inc.,NYSE,US,Financial Services,Insurance - Diversified,1072820982909.0,497.29,0.688,4549526.0,,,"{""beta"": 0.688, ""companyName"": ""Berkshire Hathaway Inc."", ""country"": ""US"", ""exchange"": ""New York Stock Exchange"", ""exchangeShortName"": ""NYSE"", ""industry"": ""Insurance - Diversified"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 0.0, ""marketCap"": 1072820982909, ""price"": 497.29, ""sector"": ""Financial Services"", ""symbol"": ""BRK-B"", ""volume"": 4549526.0}"
BRK-A,Berkshire Hathaway Inc.,NYSE,US,Financial Services,Insurance - Diversified,1070224646513.0,744127.25,0.688,136.0,,,"{""beta"": 0.688, ""companyName"": ""Berkshire Hathaway Inc."", ""country"": ""US"", ""exchange"": ""New York Stock Exchange"", ""exchangeShortName"": ""NYSE"", ""industry"": ""Insurance - Diversified"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 0.0, ""marketCap"": 1070224646513, ""price"": 744127.25, ""sector"": ""Financial Services"", ""symbol"": ""BRK-A"", ""volume"": 136.0}"
WMT,Walmart Inc.,NASDAQ,US,Consumer Defensive,Specialty Retail,991344346433.0,124.34,0.657,18462476.0,,,"{""beta"": 0.657, ""companyName"": ""Walmart Inc."", ""country"": ""US"", ""exchange"": ""NASDAQ Global Select"", ""exchangeShortName"": ""NASDAQ"", ""industry"": ""Specialty Retail"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 0.94, ""marketCap"": 991344346433, ""price"": 124.34, ""sector"": ""Consumer Defensive"", ""symbol"": ""WMT"", ""volume"": 18462476.0}"
LLY,Eli Lilly and Company,NYSE,US,Healthcare,Drug Manufacturers - General,951045359550.0,1008.15,0.434,2016365.0,,,"{""beta"": 0.434, ""companyName"": ""Eli Lilly and Company"", ""country"": ""US"", ""exchange"": ""New York Stock Exchange"", ""exchangeShortName"": ""NYSE"", ""industry"": ""Drug Manufacturers - General"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 6.23, ""marketCap"": 951045359550, ""price"": 1008.15, ""sector"": ""Healthcare"", ""symbol"": ""LLY"", ""volume"": 2016365.0}"
JPM,JPMorgan Chase & Co.,NYSE,US,Financial Services,Banks - Diversified,781815744865.0,289.88,1.059,9645478.0,,,"{""beta"": 1.059, ""companyName"": ""JPMorgan Chase & Co."", ""country"": ""US"", ""exchange"": ""New York Stock Exchange"", ""exchangeShortName"": ""NYSE"", ""industry"": ""Banks - Diversified"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 5.8, ""marketCap"": 781815744865, ""price"": 289.88, ""sector"": ""Financial Services"", ""symbol"": ""JPM"", ""volume"": 9645478.0}"
ORCL,Oracle Corporation,NYSE,US,Technology,Software - Infrastructure,435568491050.0,151.55,1.648,27741648.0,,,"{""beta"": 1.648, ""companyName"": ""Oracle Corporation"", ""country"": ""US"", ""exchange"": ""New York Stock Exchange"", ""exchangeShortName"": ""NYSE"", ""industry"": ""Software - Infrastructure"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 2.0, ""marketCap"": 435568491050, ""price"": 151.55, ""sector"": ""Technology"", ""symbol"": ""ORCL"", ""volume"": 27741648.0}"
PLTR,Palantir Technologies Inc.,NASDAQ,US,Technology,Software - Infrastructure,358454652100.0,156.43,1.739,46276876.0,,,"{""beta"": 1.739, ""companyName"": ""Palantir Technologies Inc."", ""country"": ""US"", ""exchange"": ""NASDAQ Global Select"", ""exchangeShortName"": ""NASDAQ"", ""industry"": ""Software - Infrastructure"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 0.0, ""marketCap"": 358454652100, ""price"": 156.43, ""sector"": ""Technology"", ""symbol"": ""PLTR"", ""volume"": 46276876.0}"
CRM,"Salesforce, Inc.",NYSE,US,Technology,Software - Application,186266229006.0,198.79,1.307,9270483.0,,,"{""beta"": 1.307, ""companyName"": ""Salesforce, Inc."", ""country"": ""US"", ""exchange"": ""New York Stock Exchange"", ""exchangeShortName"": ""NYSE"", ""industry"": ""Software - Application"", ""isActivelyTrading"": true, ""isEtf"": false, ""isFund"": false, ""lastAnnualDividend"": 1.664, ""marketCap"": 186266229006, ""price"": 198.79, ""sector"": ""Technology"", ""symbol"": ""CRM"", ""volume"": 9270483.0}"
